Gene description	Gene name
estrogen-related receptor alpha pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3472]	ESRRAP1
zinc finger protein 646 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39749]	ZNF646P1
ribosomal protein L19 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:35713]	RPL19P20
jade family PHD finger 3 [Source:HGNC Symbol;Acc:HGNC:22982]	JADE3
ribonuclease P/MRP subunit p40 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39770]	RPP40P2
PDXP divergent transcript [Source:HGNC Symbol;Acc:HGNC:40525]	PDXP-DT
novel protein similar to translation machinery associated 7 homolog (S. cerevisiae) TMA7	
long intergenic non-protein coding RNA 458 [Source:HGNC Symbol;Acc:HGNC:42807]	LINC00458
zinc finger BED-type containing 4 [Source:HGNC Symbol;Acc:HGNC:20721]	ZBED4
small ubiquitin like modifier 3 [Source:HGNC Symbol;Acc:HGNC:11124]	SUMO3
PHD finger protein 21B [Source:HGNC Symbol;Acc:HGNC:25161]	PHF21B
peptidylprolyl isomerase A pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:39271]	PPIAP26
guanidinoacetate N-methyltransferase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37697]	GAMTP2
WASP family member 3 [Source:HGNC Symbol;Acc:HGNC:12734]	WASF3
long intergenic non-protein coding RNA 2856 [Source:HGNC Symbol;Acc:HGNC:54393]	LINC02856
succinate dehydrogenase complex subunit C pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31734]	SDHCP1
forkhead box R2 [Source:HGNC Symbol;Acc:HGNC:30469]	FOXR2
mitochondrial ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:14027]	MRPL39
cerebellin 2 precursor [Source:HGNC Symbol;Acc:HGNC:1544]	CBLN2
solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123]	SLC9A7
coiled-coil domain containing 175 [Source:HGNC Symbol;Acc:HGNC:19847]	CCDC175
inhibitor of Bruton agammaglobulinemia tyrosine kinase, pseudogene	
novel transcript, antisense to CELF4	
ZNF407 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44331]	ZNF407-AS1
short coiled-coil protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20339]	SCOCP1
solute carrier family 10 member 1 [Source:HGNC Symbol;Acc:HGNC:10905]	SLC10A1
DNA polymerase nu [Source:HGNC Symbol;Acc:HGNC:18870]	POLN
general transcription factor IIH, polypeptide 1, 62kDa pseudogene	
long intergenic non-protein coding RNA 1905 [Source:HGNC Symbol;Acc:HGNC:52724]	LINC01905
SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:HGNC:10528]	SAMSN1
heterogeneous nuclear ribonucleoprotein D pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:5038]	HNRNPDP1
RBMX pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:54979]	RBMXP5
PHKA1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40446]	PHKA1-AS1
MAGE family member H1 [Source:HGNC Symbol;Acc:HGNC:24092]	MAGEH1
ZNF674 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:44266]	ZNF674-AS1
long intergenic non-protein coding RNA 366 [Source:HGNC Symbol;Acc:HGNC:42688]	LINC00366
RAB11 family interacting protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:42366]	RAB11FIP1P1
BMP2 inducible kinase like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:17080]	BMP2KL
SMIM15 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54940]	SMIM15P1
solute carrier family 7 member 3 [Source:HGNC Symbol;Acc:HGNC:11061]	SLC7A3
dehydrogenase/reductase 7 [Source:HGNC Symbol;Acc:HGNC:21524]	DHRS7
RPS3A pseudogene 44 [Source:HGNC Symbol;Acc:HGNC:36761]	RPS3AP44
long intergenic non-protein coding RNA 407 [Source:HGNC Symbol;Acc:HGNC:42739]	LINC00407
ankyrin repeat domain 26 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39689]	ANKRD26P3
calponin 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39526]	CNN2P1
acidic nuclear phosphoprotein 32 family member B pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38552]	ANP32BP2
uroplakin 3A [Source:HGNC Symbol;Acc:HGNC:12580]	UPK3A
diacylglycerol kinase kappa [Source:HGNC Symbol;Acc:HGNC:32395]	DGKK
ribosomal protein S3 (RPS3) pseudogene	
ZNF516 divergent transcript [Source:HGNC Symbol;Acc:HGNC:51248]	ZNF516-DT
phosphatidylinositol glycan anchor biosynthesis class G [Source:HGNC Symbol;Acc:HGNC:25985]	PIGG
ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12588]	UQCRFS1P1
long intergenic non-protein coding RNA 1644 [Source:HGNC Symbol;Acc:HGNC:52431]	LINC01644
retina and anterior neural fold homeobox [Source:HGNC Symbol;Acc:HGNC:18662]	RAX
ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]	RPL3
novel transcript, antisense to ZFN156	
keratin 8 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:31094]	KRT8P5
chromosome 21 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:1300]	C21orf58
novel transcript, sense intronic to TRAPPC8	
long intergenic non-protein coding RNA 305 [Source:HGNC Symbol;Acc:HGNC:28597]	LINC00305
long intergenic non-protein coding RNA 269 [Source:HGNC Symbol;Acc:HGNC:26586]	LINC00269
NDP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40395]	NDP-AS1
SPIN4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41177]	SPIN4-AS1
pirin [Source:HGNC Symbol;Acc:HGNC:30048]	PIR
long intergenic non-protein coding RNA 1927 [Source:HGNC Symbol;Acc:HGNC:52749]	LINC01927
long intergenic non-protein coding RNA 1893 [Source:HGNC Symbol;Acc:HGNC:52712]	LINC01893
non-SMC element 4 homolog A (S. cerevisiae), pseudogene	
pecanex 1 [Source:HGNC Symbol;Acc:HGNC:19740]	PCNX1
long intergenic non-protein coding RNA 1898 [Source:HGNC Symbol;Acc:HGNC:52717]	LINC01898
ribosomal protein L23a pseudogene 83 [Source:HGNC Symbol;Acc:HGNC:35846]	RPL23AP83
PSMA5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54966]	PSMA5P1
chaperonin containing TCP1 subunit 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:35141]	CCT4P2
signal peptide peptidase-like 3 (SPPL3) pseudogene	
ectodysplasin A2 receptor [Source:HGNC Symbol;Acc:HGNC:17756]	EDA2R
long intergenic non-protein coding RNA 2582 [Source:HGNC Symbol;Acc:HGNC:53792]	LINC02582
long intergenic non-protein coding RNA 1539 [Source:HGNC Symbol;Acc:HGNC:51307]	LINC01539
periostin [Source:HGNC Symbol;Acc:HGNC:16953]	POSTN
BLOC1S2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51427]	BLOC1S2P1
profilin 5, pseudogene [Source:HGNC Symbol;Acc:HGNC:53808]	PFN5P
cysteinyl leukotriene receptor 1 [Source:HGNC Symbol;Acc:HGNC:17451]	CYSLTR1
small integral membrane protein 11A [Source:HGNC Symbol;Acc:HGNC:1293]	SMIM11A
ATPase H+ transporting accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:18305]	ATP6AP2
SIM bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10883]	SIM2
DnaJ (Hsp40) homolog, subfamily C, member 8, pseudogene	
myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925]	MBP
cerebellin 4 precursor [Source:HGNC Symbol;Acc:HGNC:16231]	CBLN4
DKKL1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16593]	DKKL1P1
BPI fold containing family B member 3 [Source:HGNC Symbol;Acc:HGNC:16178]	BPIFB3
HLCS intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41343]	HLCS-IT1
RNA, 5S ribosomal pseudogene 491 [Source:HGNC Symbol;Acc:HGNC:43391]	RNA5SP491
divergent-paired related homeobox pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:32171]	DPRXP5
G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	GTSE1
mitochondrial ribosomal protein L20 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29699]	MRPL20P1
ripply transcriptional repressor 3 [Source:HGNC Symbol;Acc:HGNC:3047]	RIPPLY3
RNA, U6 small nuclear 696, pseudogene [Source:HGNC Symbol;Acc:HGNC:47659]	RNU6-696P
ribosomal RNA processing 1B [Source:HGNC Symbol;Acc:HGNC:23818]	RRP1B
long intergenic non-protein coding RNA 1733 [Source:HGNC Symbol;Acc:HGNC:52521]	LINC01733
long intergenic non-protein coding RNA 28 [Source:HGNC Symbol;Acc:HGNC:16224]	LINC00028
ATPase phospholipid transporting 9A (putative) [Source:HGNC Symbol;Acc:HGNC:13540]	ATP9A
dynein, light chain, Tctex-type 1 (DYNLT1) pseudogene	
olfactory receptor family 7 subfamily E member 163 pseudogene [Source:HGNC Symbol;Acc:HGNC:45040]	OR7E163P
ribosomal protein L32 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:36600]	RPL32P12
endogenous retrovirus group H member 1 [Source:HGNC Symbol;Acc:HGNC:39053]	ERVH-1
novel transcript, sense intronic to KCNIP4	
novel transcript, antisense to TBC1D14	
PDE6B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40438]	PDE6B-AS1
eukaryotic translation initiation factor 4E nuclear import factor 1 [Source:HGNC Symbol;Acc:HGNC:16687]	EIF4ENIF1
ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:48692]	ENPP7P9
pyridoxal kinase [Source:HGNC Symbol;Acc:HGNC:8819]	PDXK
novel beta-tubulin pseudogene	
long intergenic non-protein coding RNA 504 [Source:HGNC Symbol;Acc:HGNC:43555]	LINC00504
glycoprotein hormone subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:18055]	GPHB5
ATP binding cassette subfamily A member 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:31]	ABCA11P
ATP synthase F1 subunit alpha pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:23563]	ATP5F1AP4
GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	GRPEL1
transmembrane protein 98 (TMEM98) pseudogene	
ADAM metallopeptidase domain 21 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19822]	ADAM21P1
senescence associated long non-coding RNA 1 [Source:HGNC Symbol;Acc:HGNC:49001]	SALRNA1
ITCH antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40659]	ITCH-AS1
MNAT1 component of CDK activating kinase [Source:HGNC Symbol;Acc:HGNC:7181]	MNAT1
RALY heterogeneous nuclear ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15921]	RALY
RAF1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9830]	RAF1P1
solute carrier family 2 member 9 [Source:HGNC Symbol;Acc:HGNC:13446]	SLC2A9
novel transcript, antisense to PCNX1	
coiled-coil domain containing 177 [Source:HGNC Symbol;Acc:HGNC:23243]	CCDC177
long intergenic non-protein coding RNA 1303 [Source:HGNC Symbol;Acc:HGNC:50470]	LINC01303
pseudogene similar to part of myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) (MX1)	
chromosome 14 open reading frame 28 [Source:HGNC Symbol;Acc:HGNC:19834]	C14orf28
ring finger protein 212 [Source:HGNC Symbol;Acc:HGNC:27729]	RNF212
ribosomal protein L5 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:36967]	RPL5P35
NUP50 divergent transcript [Source:HGNC Symbol;Acc:HGNC:50502]	NUP50-DT
novel transcript, sense intronic to CSNK1E	
MRPS18C pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:29747]	MRPS18CP6
immunoglobulin lambda variable 3-26 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5909]	IGLV3-26
EP300 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50504]	EP300-AS1
DDB1 and CUL4 associated factor 4 [Source:HGNC Symbol;Acc:HGNC:20229]	DCAF4
long intergenic non-protein coding RNA 1643 [Source:HGNC Symbol;Acc:HGNC:52430]	LINC01643
novel transcript, sense intronic to C21orf33and PDXKand MX2	
cystatin B [Source:HGNC Symbol;Acc:HGNC:2482]	CSTB
cilia and flagella associated protein 61 [Source:HGNC Symbol;Acc:HGNC:15872]	CFAP61
transmembrane protein 97 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39640]	TMEM97P1
ribosomal RNA processing 1 [Source:HGNC Symbol;Acc:HGNC:18785]	RRP1
long intergenic non-protein coding RNA 1097 [Source:HGNC Symbol;Acc:HGNC:27738]	LINC01097
transmembrane protein 271 [Source:HGNC Symbol;Acc:HGNC:53639]	TMEM271
heterogeneous nuclear ribonucleoprotein A1 pseudogene 65 [Source:HGNC Symbol;Acc:HGNC:48795]	HNRNPA1P65
EvC ciliary complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:3497]	EVC
thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	TST
ATPase family, AAA domain containing (ATD1) pseudogene	
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1 (ATP5F1) pseudogene	
novel transcript, sense intronic to MYO5B	
TBC1D22A divergent transcript [Source:HGNC Symbol;Acc:HGNC:55388]	TBC1D22A-DT
zinc finger protein 516 [Source:HGNC Symbol;Acc:HGNC:28990]	ZNF516
long intergenic non-protein coding RNA 229 [Source:HGNC Symbol;Acc:HGNC:13240]	LINC00229
solute carrier family 16 member 2 [Source:HGNC Symbol;Acc:HGNC:10923]	SLC16A2
novel transcript, antisense to KCNJ4	
pyridoxal phosphatase [Source:HGNC Symbol;Acc:HGNC:30259]	PDXP
long intergenic non-protein coding RNA 1545 [Source:HGNC Symbol;Acc:HGNC:17986]	LINC01545
PRR5-ARHGAP8 readthrough [Source:HGNC Symbol;Acc:HGNC:34512]	PRR5-ARHGAP8
TERF1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:54603]	TERF1P7
lactate dehydrogenase B pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:6543]	LDHBP2
GOT2 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:54891]	GOT2P6
MT-ND1 pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:42080]	MTND1P31
methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7433]	MTHFD1P1
lysosomal-associated membrane protein 1 (LAMP1) pseudogene	
zinc finger CCHC-type containing 13 [Source:HGNC Symbol;Acc:HGNC:31749]	ZCCHC13
heterogeneous nuclear ribonucleoprotein A1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:39129]	HNRNPA1P11
TOMM20 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:50522]	TOMM20P4
FYVE, RhoGEF and PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3663]	FGD1
carbohydrate sulfotransferase 9 [Source:HGNC Symbol;Acc:HGNC:19898]	CHST9
apoptosis associated transcript in bladder cancer [Source:HGNC Symbol;Acc:HGNC:51526]	AATBC
MYL6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7588]	MYL6P1
DEAH-box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738]	DHX15
1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	AGPAT3
keratin 18 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:31093]	KRT18P8
novel transcript, antisense to SMIM21	
zinc finger protein 397 [Source:HGNC Symbol;Acc:HGNC:18818]	ZNF397
keratin 8 pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:33379]	KRT8P27
MAGE family member D2 [Source:HGNC Symbol;Acc:HGNC:16353]	MAGED2
JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]	JKAMP
ribosomal protein S7 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:36334]	RPS7P6
collapsin response mediator protein 1 [Source:HGNC Symbol;Acc:HGNC:2365]	CRMP1
long intergenic non-protein coding RNA 1900 [Source:HGNC Symbol;Acc:HGNC:52719]	LINC01900
snail family transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:11128]	SNAI1
glyceraldehyde 3 phosphate dehydrogenase pseudogene 53 [Source:HGNC Symbol;Acc:HGNC:38559]	GAPDHP53
translation regulatory long non-coding RNA 1 [Source:HGNC Symbol;Acc:HGNC:44307]	TRERNA1
long intergenic non-protein coding RNA 668 [Source:HGNC Symbol;Acc:HGNC:44328]	LINC00668
ribosomal protein L36 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16338]	RPL36P1
CDK5 regulatory subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15880]	CDK5RAP1
cytochrome c oxidase subunit 5B pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:2276]	COX5BP7
novel transcript, antisense to ALG12	
chromosome 5 open reading frame 52 (C5orf52) pseudogene	
eukaryotic translation initiation factor 4A3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51460]	EIF4A3P1
Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	WNT7B
transmembrane protein 241 [Source:HGNC Symbol;Acc:HGNC:31723]	TMEM241
RNA, U6 small nuclear 859, pseudogene [Source:HGNC Symbol;Acc:HGNC:47822]	RNU6-859P
RNA, U6 small nuclear 1150, pseudogene [Source:HGNC Symbol;Acc:HGNC:48113]	RNU6-1150P
novel proline rich Gla (G-carboxyglutamic acid) 1 (PRRG1) and tetraspanin 7 (TSPAN7) protein	
trafficking protein particle complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:11868]	TRAPPC10
Kruppel like factor 8 [Source:HGNC Symbol;Acc:HGNC:6351]	KLF8
SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	SAMM50
SRM pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:20034]	SRMP2
SFR1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:51532]	SFR1P2
heterogeneous nuclear ribonucleoprotein H3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48750]	HNRNPH3P1
kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	KIF4A
ras homolog family member J [Source:HGNC Symbol;Acc:HGNC:688]	RHOJ
novel transcript, antisense to PRKCH	
novel transcript, antisense to LRRC9	
ADAM metallopeptidase domain 20 (ADAM20) pseudogene	
suppressor of cytokine signaling 4 [Source:HGNC Symbol;Acc:HGNC:19392]	SOCS4
MAX dimerization protein 4 [Source:HGNC Symbol;Acc:HGNC:13906]	MXD4
potassium voltage-gated channel subfamily H member 5 [Source:HGNC Symbol;Acc:HGNC:6254]	KCNH5
H2A.Z histone pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4742]	H2AZP1
PWP2 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:9711]	PWP2
cell division cycle 42 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:44430]	CDC42P6
zinc finger protein 595 [Source:HGNC Symbol;Acc:HGNC:27196]	ZNF595
tetratricopeptide repeat domain 38 [Source:HGNC Symbol;Acc:HGNC:26082]	TTC38
THAP domain containing 12 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39563]	THAP12P1
X antigen family, member 2 (XAGE2) pseudogene	
PSMA1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55003]	PSMA1P1
PEST containing nuclear protein pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:41976]	PCNPP4
platelet-activating factor acetylhydrolase 1b, catalytic subunit 2 (30kDa), pseudogene	
X antigen family member 2 [Source:HGNC Symbol;Acc:HGNC:4112]	XAGE2
DLG3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40182]	DLG3-AS1
thiopurine S-methyltransferase pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:44567]	TPMTP4
secretion associated Ras related GTPase 1A pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:37638]	SAR1AP4
long intergenic non-protein coding RNA 1678 [Source:HGNC Symbol;Acc:HGNC:52466]	LINC01678
fibroblast growth factor 16 [Source:HGNC Symbol;Acc:HGNC:3672]	FGF16
tRNA methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:23141]	TRMT5
novel transcript, antisense to DYRK1A	
carboxypeptidase Z [Source:HGNC Symbol;Acc:HGNC:2333]	CPZ
P2Y receptor family member 10B, pseudogene [Source:HGNC Symbol;Acc:HGNC:32924]	P2RY10BP
MMADHC pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54996]	MMADHCP1
CPX chromosome region candidate 1 [Source:HGNC Symbol;Acc:HGNC:2332]	CPXCR1
stress associated endoplasmic reticulum protein family member 2 [Source:HGNC Symbol;Acc:HGNC:20607]	SERP2
dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]	DYRK1A
high mobility group nucleosome binding domain 1 pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:39378]	HMGN1P34
zinc finger FYVE-type containing 1 [Source:HGNC Symbol;Acc:HGNC:13180]	ZFYVE1
long intergenic non-protein coding RNA 1029 [Source:HGNC Symbol;Acc:HGNC:49015]	LINC01029
novel transcript, antisense to ELFN2	
long intergenic non-protein coding RNA 558 [Source:HGNC Symbol;Acc:HGNC:43702]	LINC00558
serine/threonine kinase 4 [Source:HGNC Symbol;Acc:HGNC:11408]	STK4
histone deacetylase 8 [Source:HGNC Symbol;Acc:HGNC:13315]	HDAC8
novel transcript, antisense to DENND6B	
long intergenic non-protein coding RNA 1639 [Source:HGNC Symbol;Acc:HGNC:52426]	LINC01639
PRPF19 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23182]	PRPF19P1
G protein subunit gamma 5 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:33554]	GNG5P5
POM121 transmembrane nucleoporin-like 2 (POM121L2) pseudogene	
elongator acetyltransferase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:18248]	ELP2
solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]	SLC25A17
fibronectin type III domain containing 3A [Source:HGNC Symbol;Acc:HGNC:20296]	FNDC3A
olfactory receptor family 7 subfamily E member 83 pseudogene [Source:HGNC Symbol;Acc:HGNC:14688]	OR7E83P
cilia and flagella associated protein 99 [Source:HGNC Symbol;Acc:HGNC:51180]	CFAP99
long intergenic non-protein coding RNA 2473 [Source:HGNC Symbol;Acc:HGNC:53412]	LINC02473
novel transcript, antisense to LDB2	
pseudogene similar to part of zinc finger protein 74 (ZNF74)	
serine/threonine kinase 32B [Source:HGNC Symbol;Acc:HGNC:14217]	STK32B
long intergenic non-protein coding RNA 1524 [Source:HGNC Symbol;Acc:HGNC:51228]	LINC01524
long intergenic non-protein coding RNA 1182 [Source:HGNC Symbol;Acc:HGNC:49564]	LINC01182
novel transcript, antisense to C22orf26	
long intergenic non-protein coding RNA 1651 [Source:HGNC Symbol;Acc:HGNC:52439]	LINC01651
AP1B1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:297]	AP1B1P1
RNA binding protein with serine rich domain 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39525]	RNPS1P1
msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	MSX1
TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009]	TRIOBP
long intergenic non-protein coding RNA 955 [Source:HGNC Symbol;Acc:HGNC:26644]	LINC00955
novel transcript, antisense to GPHN	
MT-ND2 pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:42132]	MTND2P31
sushi domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19956]	SUSD6
olfactory receptor family 7 subfamily E member 162 pseudogene [Source:HGNC Symbol;Acc:HGNC:28374]	OR7E162P
long intergenic non-protein coding RNA 1396 [Source:HGNC Symbol;Acc:HGNC:50675]	LINC01396
quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	QDPR
poly(ADP-ribose) polymerase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:276]	PARP1P2
aldo-keto reductase family 1 member B1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:20002]	AKR1B1P5
novel transcript, sense intronic to CTD-2014B16.3	
MT-RNR2 like 3 [Source:HGNC Symbol;Acc:HGNC:37157]	MTRNR2L3
tetratricopeptide repeat domain 7B (TTC7B) pseudogene	
A-kinase anchoring protein 5 [Source:HGNC Symbol;Acc:HGNC:375]	AKAP5
solute carrier family 17 member 9 [Source:HGNC Symbol;Acc:HGNC:16192]	SLC17A9
pituitary tumor-transforming 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:20055]	PTTG4P
RAP1A, member of RAS oncogene family pseudogene [Source:HGNC Symbol;Acc:HGNC:9856]	RAP1AP
novel transcript, antisense to PAPLN	
RNA binding motif protein 8B pseudogene [Source:HGNC Symbol;Acc:HGNC:13426]	RBM8B
PCNX4 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55447]	PCNX4-DT
ribosomal protein L7a pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:19785]	RPL7AP6
tubulin beta pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:18192]	TUBBP3
C1QTNF7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40683]	C1QTNF7-AS1
novel transcript, antisense to  PPM1A	
novel transcript, antisense to PDE6B	
required for meiotic nuclear division 1 homolog (S. cerevisiae) (RMND1) pseudogene	
transmembrane protein 149 (TMEM149) pseudogene	
alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	IDUA
nuclear receptor coactivator 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20022]	NCOA4P1
ribosomal protein S12 (RPS12) pseudogene	
SIPA1L1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55432]	SIPA1L1-AS1
ribosomal protein L21 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:19772]	RPL21P7
Sin3A-associated protein, 25kDa (SAP25) pseudogene	
RBM25 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55437]	RBM25-AS1
FUT8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44294]	FUT8-AS1
novel transcript, antisense to APMAP	
ribosomal protein L23a pseudogene 71 [Source:HGNC Symbol;Acc:HGNC:36908]	RPL23AP71
novel transcript, antisense to TRIM9	
glycogen phosphorylase B [Source:HGNC Symbol;Acc:HGNC:9723]	PYGB
PR/SET domain 15 [Source:HGNC Symbol;Acc:HGNC:13999]	PRDM15
WD repeat-containing protein 62 (WDR62) pseudogene	
egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	EGLN3
fumarate hydratase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39442]	FHP1
ribosomal protein S21 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:35922]	RPS21P4
novel transcript, sense overlapping  TBC1D14	
cutaneous T-cell lymphoma-associated antigen 1 (CTAGE1) pseudogene	
ATP synthase membrane subunit e [Source:HGNC Symbol;Acc:HGNC:846]	ATP5ME
novel transcript, antisense to NUPL1	
