SYMBOL	DESCRIPTION
C11orf42	Chromosome 11 open reading frame 42
NFATC1	Nuclear factor of activated T cells 1
LINC02682	Long intergenic non-protein coding RNA 2682
PACRGL	Parkin coregulated like
MTND2P9	MT-ND2 pseudogene 9
FTSJ1	FtsJ RNA 2'-O-methyltransferase 1
SUMO2P12	SUMO2 pseudogene 12
FAM242F	Family with sequence similarity 242 member F
MOCS1	Molybdenum cofactor synthesis 1
CALCB	Calcitonin related polypeptide beta
ATP8B5P	ATPase phospholipid transporting 8B5, pseudogene
MGAT3	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
MGAT3-AS1	MGAT3 antisense RNA 1
MIEF1	Mitochondrial elongation factor 1
PTH	Parathyroid hormone
FAR1-IT1	FAR1 intronic transcript 1
OR52B1P	Olfactory receptor family 52 subfamily B member 1 pseudogene
SSU72P4	SSU72 pseudogene 4
PES1P2	Pescadillo ribosomal biogenesis factor 1 pseudogene 2
RIC3	RIC3 acetylcholine receptor chaperone
ANKS6	Ankyrin repeat and sterile alpha motif domain containing 6
RIN3	Ras and Rab interactor 3
EBP	EBP cholestenol delta-isomerase
SEL1L2	SEL1L2 adaptor subunit of ERAD E3 ligase
RNU6-800P	RNA, U6 small nuclear 800, pseudogene
ASB9	Ankyrin repeat and SOCS box containing 9
OR7E41P	Olfactory receptor family 7 subfamily E member 41 pseudogene
COX11P1	COX11 pseudogene 1
TUBB4BP6	TUBB4B pseudogene 6
CYP4F60P	Cytochrome P450 family 4 subfamily F member 60, pseudogene
TRPM5	Transient receptor potential cation channel subfamily M member 5
NMT2	N-myristoyltransferase 2
PTAR1	Protein prenyltransferase alpha subunit repeat containing 1
UNC5CL	Unc-5 family C-terminal like
RPS19BP1	Ribosomal protein S19 binding protein 1
ASB11	Ankyrin repeat and SOCS box containing 11
IGHVII-28-1	Immunoglobulin heavy variable (II)-28-1 (pseudogene)
TRAJ46	T cell receptor alpha joining 46
COX5AP2	Cytochrome c oxidase subunit 5A pseudogene 2
GNPNAT1	Glucosamine-phosphate N-acetyltransferase 1
TSPO2	Translocator protein 2
TUBB8P1	Tubulin beta 8 class VIII pseudogene 1
ARL2BPP7	ADP ribosylation factor like GTPase 2 binding protein pseudogene 7
PTCSC2	Papillary thyroid carcinoma susceptibility candidate 2
DNAJA1P6	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 6
SLC25A18	Solute carrier family 25 member 18
SLC25A6P2	Solute carrier family 25 member 6 pseudogene 2
ABHD16B	Abhydrolase domain containing 16B
SSTR4	Somatostatin receptor 4
VSX1	Visual system homeobox 1
ANGPTL2	Angiopoietin like 2
GRM4	Glutamate metabotropic receptor 4
PIGA	Phosphatidylinositol glycan anchor biosynthesis class A
RNU6-458P	RNA, U6 small nuclear 458, pseudogene
RNU6-1239P	RNA, U6 small nuclear 1239, pseudogene
RNU1-27P	RNA, U1 small nuclear 27, pseudogene
RN7SL660P	RNA, 7SL, cytoplasmic 660, pseudogene
RNU6-8	RNA, U6 small nuclear 8
RNU6-273P	RNA, U6 small nuclear 273, pseudogene
RNU6-602P	RNA, U6 small nuclear 602, pseudogene
MIR548Y	MicroRNA 548y
RNU6-886P	RNA, U6 small nuclear 886, pseudogene
TMEM273	Transmembrane protein 273
RNU6-455P	RNA, U6 small nuclear 455, pseudogene
RNU6-1277P	RNA, U6 small nuclear 1277, pseudogene
MIR4307	MicroRNA 4307
MIR3171	MicroRNA 3171
RNU6-1261P	RNA, U6 small nuclear 1261, pseudogene
RNA5SP384	RNA, 5S ribosomal pseudogene 384
RNU6-1291P	RNA, U6 small nuclear 1291, pseudogene
RNA5SP385	RNA, 5S ribosomal pseudogene 385
RNU6-7	RNA, U6 small nuclear 7
RNU6-301P	RNA, U6 small nuclear 301, pseudogene
SNORD58	Small nucleolar RNA SNORD58
SNORD127	Small nucleolar RNA, C/D box 127
RNU6-398P	RNA, U6 small nuclear 398, pseudogene
MIR4503	MicroRNA 4503
MIR5580	MicroRNA 5580
RN7SKP21	RN7SK pseudogene 21
MIR4708	MicroRNA 4708
RN7SL598P	RNA, 7SL, cytoplasmic 598, pseudogene
RN7SKP99	RN7SK pseudogene 99
MIR5586	MicroRNA 5586
RNU2-14P	RNA, U2 small nuclear 14, pseudogene
ATP6V1E1	ATPase H+ transporting V1 subunit E1
RNU6-297P	RNA, U6 small nuclear 297, pseudogene
SNORD56B	Small nucleolar RNA, C/D box 56B
RN7SL586P	RNA, 7SL, cytoplasmic 586, pseudogene
RN7SL683P	RNA, 7SL, cytoplasmic 683, pseudogene
RN7SL1	RNA component of signal recognition particle 7SL1
BNIP3P4	BCL2 interacting protein 3 pseudogene 4
RNU1-28P	RNA, U1 small nuclear 28, pseudogene
OR7E109P	Olfactory receptor family 7 subfamily E member 109 pseudogene
RNU6-552P	RNA, U6 small nuclear 552, pseudogene
GXYLT1P6	GXYLT1 pseudogene 6
LINC01474	Long intergenic non-protein coding RNA 1474
SDK1-AS1	SDK1 antisense RNA 1
MIR625	MicroRNA 625
RNU6-976P	RNA, U6 small nuclear 976, pseudogene
RNU6ATAC28P	RNA, U6atac small nuclear 28, pseudogene
MIR4709	MicroRNA 4709
RNU6-419P	RNA, U6 small nuclear 419, pseudogene
MYL9	Myosin light chain 9
RNU7-30P	RNA, U7 small nuclear 30 pseudogene
UNCX	UNC homeobox
SNORA11B	Small nucleolar RNA, H/ACA box 11B
RN7SKP107	RN7SK pseudogene 107
RN7SKP255	RN7SK pseudogene 255
RNU6-835P	RNA, U6 small nuclear 835, pseudogene
SCARNA13	Small Cajal body-specific RNA 13
IGKV1OR-2	Immunoglobulin kappa variable 1/OR-2 (pseudogene)
RN7SL523P	RNA, 7SL, cytoplasmic 523, pseudogene
S1PR3	Sphingosine-1-phosphate receptor 3
MIR6764	MicroRNA 6764
VEGFD	Vascular endothelial growth factor D
GET4	Guided entry of tail-anchored proteins factor 4
RNU6-1316P	RNA, U6 small nuclear 1316, pseudogene
RN7SL714P	RNA, 7SL, cytoplasmic 714, pseudogene
RNU6-684P	RNA, U6 small nuclear 684, pseudogene
RNU2-33P	RNA, U2 small nuclear 33, pseudogene
MIR345	MicroRNA 345
RNU1-47P	RNA, U1 small nuclear 47, pseudogene
RN7SL472P	RNA, 7SL, cytoplasmic 472, pseudogene
RNU6-790P	RNA, U6 small nuclear 790, pseudogene
MIR203A	MicroRNA 203a
MIR4309	MicroRNA 4309
RNU6-91P	RNA, U6 small nuclear 91, pseudogene
CCAR1	Cell division cycle and apoptosis regulator 1
MIR1247	MicroRNA 1247
MIR203B	MicroRNA 203b
RN7SL634P	RNA, 7SL, cytoplasmic 634, pseudogene
CLCN4	Chloride voltage-gated channel 4
MIR151B	MicroRNA 151b
MIR342	MicroRNA 342
RN7SL546P	RNA, 7SL, cytoplasmic 546, pseudogene
RNU6-244P	RNA, U6 small nuclear 244, pseudogene
C9orf135	Chromosome 9 open reading frame 135
RNU7-51P	RNA, U7 small nuclear 51 pseudogene
TRAJ44	T cell receptor alpha joining 44
TGIF2	TGFB induced factor homeobox 2
TRAJ43	T cell receptor alpha joining 43
TRAJ42	T cell receptor alpha joining 42
TRAJ41	T cell receptor alpha joining 41
TRAJ40	T cell receptor alpha joining 40
TRAJ39	T cell receptor alpha joining 39
TRAJ37	T cell receptor alpha joining 37
TRAJ36	T cell receptor alpha joining 36
TRAJ35	T cell receptor alpha joining 35 (non-functional)
TRAJ34	T cell receptor alpha joining 34
TGIF2-RAB5IF	TGIF2-RAB5IF readthrough
TRAJ33	T cell receptor alpha joining 33
TRAJ32	T cell receptor alpha joining 32
TRAJ31	T cell receptor alpha joining 31
SSU72P2	SSU72 pseudogene 2
LINC01495	Long intergenic non-protein coding RNA 1495
TRAJ30	T cell receptor alpha joining 30
KRT18P66	Keratin 18 pseudogene 66
TOPORSLP	Topoisomerase I binding, arginine and serine rich like, pseudogene
TRAJ29	T cell receptor alpha joining 29
INTS1	Integrator complex subunit 1
SLA2	Src like adaptor 2
TRAJ28	T cell receptor alpha joining 28
ZDHHC13	Zinc finger DHHC-type palmitoyltransferase 13
NINJ1	Ninjurin 1
TRAJ27	T cell receptor alpha joining 27
TRAJ26	T cell receptor alpha joining 26
TRAJ25	T cell receptor alpha joining 25 (non-functional)
TRAJ24	T cell receptor alpha joining 24
TRAJ23	T cell receptor alpha joining 23
TRAJ22	T cell receptor alpha joining 22
TRAJ21	T cell receptor alpha joining 21
TRAJ20	T cell receptor alpha joining 20
TRAJ19	T cell receptor alpha joining 19 (non-functional)
HNRNPA3P2	Heterogeneous nuclear ribonucleoprotein A3 pseudogene 2
TRAJ18	T cell receptor alpha joining 18
TRAJ17	T cell receptor alpha joining 17
MRPS26	Mitochondrial ribosomal protein S26
TRAJ16	T cell receptor alpha joining 16
TRAJ14	T cell receptor alpha joining 14
ZNF367	Zinc finger protein 367
TRAJ13	T cell receptor alpha joining 13
OXT	Oxytocin/neurophysin I prepropeptide
TRAJ12	T cell receptor alpha joining 12
TRAJ11	T cell receptor alpha joining 11
BCL2L13	BCL2 like 13
TRAJ10	T cell receptor alpha joining 10
LINC01424	Long intergenic non-protein coding RNA 1424
TRAJ9	T cell receptor alpha joining 9
AVP	Arginine vasopressin
RBM22P5	RNA binding motif protein 22 pseudogene 5
TRAJ8	T cell receptor alpha joining 8
SNX30	Sorting nexin family member 30
NBEAP1	Neurobeachin pseudogene 1
TRAJ7	T cell receptor alpha joining 7
TRAJ6	T cell receptor alpha joining 6
TRAJ5	T cell receptor alpha joining 5
TRAJ4	T cell receptor alpha joining 4
RN7SL555P	RNA, 7SL, cytoplasmic 555, pseudogene
TRAJ3	T cell receptor alpha joining 3
UBOX5-AS1	UBOX5 antisense RNA 1
LINC00375	Long intergenic non-protein coding RNA 375
TRAJ2	T cell receptor alpha joining 2 (non-functional)
TRAJ1	T cell receptor alpha joining 1 (non-functional)
UBOX5	U-box domain containing 5
TRAC	T cell receptor alpha constant
KANTR	KDM5C adjacent transcript
BARX1-DT	BARX1 divergent transcript
LINC02332	Long intergenic non-protein coding RNA 2332
DAD1	Defender against cell death 1
ACTG1P10	Actin gamma 1 pseudogene 10
BCAR1P2	BCAR1 pseudogene 2
PCCA	Propionyl-CoA carboxylase subunit alpha
MIR6895	MicroRNA 6895
PAXBP1-AS1	PAXBP1 antisense RNA 1
IGHD1OR15-1A	Immunoglobulin heavy diversity 1/OR15-1A (non-functional)
MIR6894	MicroRNA 6894
KDM5C-IT1	KDM5C intronic transcript 1
FAM30C	Family with sequence similarity 30 member C
RPSAP62	Ribosomal protein SA pseudogene 62
MBOAT1	Membrane bound O-acyltransferase domain containing 1
MPV17L2P1	MPV17L2 pseudogene 1
OR4N3BP	Olfactory receptor family 4 subfamily N member 3B pseudogene
MIR6857	MicroRNA 6857
IGHD5OR15-5A	Immunoglobulin heavy diversity 5/OR15-5A (non-functional)
RIBC1	RIB43A domain with coiled-coils 1
VPS13A	Vacuolar protein sorting 13 homolog A
RADIL	Rap associating with DIL domain
NAV2-AS3	NAV2 antisense RNA 3
DDRGK1	DDRGK domain containing 1
ZNF214	Zinc finger protein 214
MYLIP	Myosin regulatory light chain interacting protein
OXA1L-DT	OXA1L divergent transcript
SPATA31E2P	SPATA31 subfamily E member 2, pseudogene
OR6E1P	Olfactory receptor family 6 subfamily E member 1 pseudogene
TIPINP1	TIPIN pseudogene 1
LINC02699	Long intergenic non-protein coding RNA 2699
PWRN1	Prader-Willi region non-protein coding RNA 1
VTRNA3-1P	Vault RNA 3-1, pseudogene
EEDP1	EED pseudogene 1
RPS17P17	Ribosomal protein S17 pseudogene 17
OXA1L	OXA1L mitochondrial inner membrane protein
SOX3	SRY-box transcription factor 3
DUSP9	Dual specificity phosphatase 9
ITGB2-AS1	ITGB2 antisense RNA 1
EIF2AK1	Eukaryotic translation initiation factor 2 alpha kinase 1
RPL18AP16	Ribosomal protein L18a pseudogene 16
RN7SL687P	RNA, 7SL, cytoplasmic 687, pseudogene
ITPA	Inosine triphosphatase
PNCK	Pregnancy up-regulated nonubiquitous CaM kinase
AKR1B1P3	Aldo-keto reductase family 1 member B1 pseudogene 3
PRRG4	Proline rich and Gla domain 4
UGT2B7	UDP glucuronosyltransferase family 2 member B7
RPL36AP40	Ribosomal protein L36a pseudogene 40
CENPUP1	Centromere protein U pseudogene 1
RBMXL2	RBMX like 2
RPL22P16	Ribosomal protein L22 pseudogene 16
ZNF236	Zinc finger protein 236
MIR3198-1	MicroRNA 3198-1
LINC00528	Long intergenic non-protein coding RNA 528
ZFAND3	Zinc finger AN1-type containing 3
RPL39P26	Ribosomal protein L39 pseudogene 26
ZFAND2A	Zinc finger AN1-type containing 2A
HMGB1P40	High mobility group box 1 pseudogene 40
CNGA4	Cyclic nucleotide gated channel subunit alpha 4
MICAL3	Microtubule associated monooxygenase, calponin and LIM domain containing 3
LRP10	LDL receptor related protein 10
ANO3	Anoctamin 3
OR11H3P	Olfactory receptor family 11 subfamily H member 3 pseudogene
OR11J6P	Olfactory receptor family 11 subfamily J member 6 pseudogene
SLC30A9	Solute carrier family 30 member 9
IGHD2OR15-2A	Immunoglobulin heavy diversity 2/OR15-2A (non-functional)
AMD1P4	Adenosylmethionine decarboxylase 1 pseudogene 4
E2F4P1	E2F transcription factor 4 pseudogene 1
IGHV1OR15-1	Immunoglobulin heavy variable 1/OR15-1 (non-functional)
PMS2	PMS1 homolog 2, mismatch repair system component
RPS8P10	Ribosomal protein S8 pseudogene 10
REM2	RRAD and GEM like GTPase 2
RNU6-1019P	RNA, U6 small nuclear 1019, pseudogene
UBE2V1P1	UBE2V1 pseudogene 1
OR4N4C	Olfactory receptor family 4 subfamily N member 4C
MCTS2P	MCTS family member 2, pseudogene
HM13-IT1	HM13 intronic transcript 1
HM13-AS1	HM13 antisense RNA 1
LINC02346	Long intergenic non-protein coding RNA 2346
RNU6-384P	RNA, U6 small nuclear 384, pseudogene
ID1	Inhibitor of DNA binding 1, HLH protein
RBM23	RNA binding motif protein 23
MIR3193	MicroRNA 3193
COX4I2	Cytochrome c oxidase subunit 4I2
FAM30B	Family with sequence similarity 30 member B
LINC02250	Long intergenic non-protein coding RNA 2250
BCL2L1-AS1	BCL2L1 antisense RNA 1
ABALON	Apoptotic BCL2L1-antisense long non-coding RNA
TPX2	TPX2 microtubule nucleation factor
GSX2	GS homeobox 2
CYCSP25	CYCS pseudogene 25
C11orf58	Chromosome 11 open reading frame 58
TMSB4XP8	TMSB4X pseudogene 8
MTND5P4	MT-ND5 pseudogene 4
ADH6	Alcohol dehydrogenase 6 (class V)
BCAP31	B cell receptor associated protein 31
CSRP3	Cysteine and glycine rich protein 3
TRAPPC8	Trafficking protein particle complex subunit 8
UNC93B2	Unc-93 homolog B2 (pseudogene)
PDCL2	Phosducin like 2
ALG1L5P	ALG1 like 5, pseudogene
MIOS	Meiosis regulator for oocyte development
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3
FAM32CP	Family with sequence similarity 32 member C, pseudogene
SYT9	Synaptotagmin 9
ZNF503-AS2	ZNF503 antisense RNA 2
OR7E59P	Olfactory receptor family 7 subfamily E member 59 pseudogene
RPL39P25	Ribosomal protein L39 pseudogene 25
ZNF519P1	Zinc finger protein 519 pseudogene 1
ABCD1	ATP binding cassette subfamily D member 1
NAV2-AS4	NAV2 antisense RNA 4
LINC02655	Long intergenic non-protein coding RNA 2655
TUBBP9	Tubulin beta class I pseudogene 9
LINC02759	Long intergenic non-protein coding RNA 2759
ZWINT	ZW10 interacting kinetochore protein
MYLK2	Myosin light chain kinase 2
LINC02745	Long intergenic non-protein coding RNA 2745
DNAH8	Dynein axonemal heavy chain 8
PLXNB3	Plexin B3
CSNK2A3	Casein kinase 2 alpha 3
LINC02741	Long intergenic non-protein coding RNA 2741
PER3P1	PER3 pseudogene 1
MEOX2	Mesenchyme homeobox 2
SLC9B2	Solute carrier family 9 member B2
HMGN2P36	High mobility group nucleosomal binding domain 2 pseudogene 36
HMGB3P4	High mobility group box 3 pseudogene 4
FANCF	FA complementation group F
MGC4859	Uncharacterized LOC79150
SPON1-AS1	SPON1 antisense RNA 1
HSPA8P8	Heat shock protein family A (Hsp70) member 8 pseudogene 8
LINC00676	Long intergenic non-protein coding RNA 676
DNAAF11P1	DNAAF11 pseudogene 1
TRIM68	Tripartite motif containing 68
LINC00397	Long intergenic non-protein coding RNA 397
FOXS1	Forkhead box S1
BCL2L1	BCL2 like 1
FOXK1	Forkhead box K1
GRID1-AS1	GRID1 antisense RNA 1
OR11K1BP	Olfactory receptor family 11 subfamily K member 1B pseudogene
NUTM2A	NUT family member 2A
LINC02760	Long intergenic non-protein coding RNA 2760
LINC02686	Long intergenic non-protein coding RNA 2686
C7orf50	Chromosome 7 open reading frame 50
ARL14EP	ADP ribosylation factor like GTPase 14 effector protein
MIB1	MIB E3 ubiquitin protein ligase 1
LINC00929	Long intergenic non-protein coding RNA 929
CSRP3-AS1	CSRP3 and E2F8 antisense RNA 1
SRPK3	SRSF protein kinase 3
LRMDA	Leucine rich melanocyte differentiation associated
RPL24P2	RPL24 pseudogene 2
SERGEF	Secretion regulating guanine nucleotide exchange factor
KIZ	Kizuna centrosomal protein
MTND5P13	MT-ND5 pseudogene 13
FTLP10	Ferritin light chain pseudogene 10
LINC01217	Long intergenic non-protein coding RNA 1217
TADA2B	Transcriptional adaptor 2B
TTYH3	Tweety family member 3
JMJD1C-AS1	JMJD1C antisense RNA 1
LINC01519	Long intergenic non-protein coding RNA 1519
RAB5CP1	RAB5C, member RAS oncogene family pseudogene 1
CCDC102B	Coiled-coil domain containing 102B
NDUFA8P1	NADH:ubiquinone oxidoreductase subunit A8 pseudogene 1
PDSS1	Decaprenyl diphosphate synthase subunit 1
IGHD5OR15-5B	Immunoglobulin heavy diversity 5/OR15-5B (non-functional)
RPL35AP11	Ribosomal protein L35a pseudogene 11
OR4N3P	Olfactory receptor family 4 subfamily N member 3 pseudogene
RPL5P1	Ribosomal protein L5 pseudogene 1
OR11J7P	Olfactory receptor family 11 subfamily J member 7 pseudogene
GRID2	Glutamate ionotropic receptor delta type subunit 2
LINC01193	Long intergenic non-protein coding RNA 1193
ZNF22	Zinc finger protein 22
LINC01553	Long intergenic non-protein coding RNA 1553
P2RX5-TAX1BP3	P2RX5-TAX1BP3 readthrough (NMD candidate)
ANXA11	Annexin A11
MIR648	MicroRNA 648
RHEBP3	RHEB pseudogene 3
CABYR	Calcium binding tyrosine phosphorylation regulated
SGSM2	Small G protein signaling modulator 2
ARL2BPP10	ADP ribosylation factor like GTPase 2 binding protein pseudogene 10
LINC01410	Long intergenic non-protein coding RNA 1410
SSR4	Signal sequence receptor subunit 4
IGHV1OR15-3	Immunoglobulin heavy variable 1/OR15-3 (pseudogene)
NME2P3	NME2 pseudogene 3
ZFAND2A-DT	ZFAND2A divergent transcript
ATP5F1EP1	ATP synthase F1 subunit epsilon pseudogene 1
IGHV3OR15-7	Immunoglobulin heavy variable 3/OR15-7 (pseudogene)
CNTNAP3P1	CNTNAP3 pseudogene 1
IGHV1OR15-6	Immunoglobulin heavy variable 1/OR15-6 (pseudogene)
PARM1	Prostate androgen-regulated mucin-like protein 1
CYP3A54P	Cytochrome P450 family 3 subfamily A member 54, pseudogene
PRMT5-AS1	PRMT5 antisense RNA 1
RNA5SP477	RNA, 5S ribosomal pseudogene 477
CKS2	CDC28 protein kinase regulatory subunit 2
AIMP2	Aminoacyl tRNA synthetase complex interacting multifunctional protein 2
LINC01640	Long intergenic non-protein coding RNA 1640
KIZ-AS1	KIZ antisense RNA 1
CDK2AP2P3	Cyclin dependent kinase 2 associated protein 2 pseudogene 3
TACR3	Tachykinin receptor 3
STX17-DT	STX17 divergent transcript
MIR4764	MicroRNA 4764
SNORA50B	Small nucleolar RNA, H/ACA box 50B
LARGE-IT1	LARGE intronic transcript 1
IGHD2OR15-2B	Immunoglobulin heavy diversity 2/OR15-2B (non-functional)
RPS15AP1	Ribosomal protein S15a pseudogene 1
GRAMD4P5	GRAM domain containing 4 pseudogene 5
FKBP4P8	FKBP prolyl isomerase 4 pseudogene 8
LARGE-AS1	LARGE antisense RNA 1
ZNF877P	Zinc finger protein 877, pseudogene
PRMT5	Protein arginine methyltransferase 5
RNU6-192P	RNA, U6 small nuclear 192, pseudogene
GSTCD-AS1	GSTCD antisense RNA 1
OVOL2	Ovo like zinc finger 2
PHOX2B-AS1	PHOX2B antisense RNA 1
RAD17P1	RAD17 pseudogene 1
SMIM29	Small integral membrane protein 29
CYCSP45	CYCS pseudogene 45
PRKG2-AS1	PRKG2 antisense RNA 1
CDS1	CDP-diacylglycerol synthase 1
L1CAM	L1 cell adhesion molecule
SNORD17	Small nucleolar RNA, C/D box 17
MGME1	Mitochondrial genome maintenance exonuclease 1
CAT	Catalase
SUN1	Sad1 and UNC84 domain containing 1
IFNWP18	Interferon omega 1 pseudogene 18
RAD23B	RAD23 homolog B, nucleotide excision repair protein
PTMAP3	Prothymosin alpha pseudogene 3
TRMU	TRNA mitochondrial 2-thiouridylase
RPL15P1	Ribosomal protein L15 pseudogene 1
RNU7-137P	RNA, U7 small nuclear 137 pseudogene
GGCTP2	GGCT pseudogene 2
RN7SL14P	RNA, 7SL, cytoplasmic 14, pseudogene
RNU2-56P	RNA, U2 small nuclear 56, pseudogene
MRPS33P2	Mitochondrial ribosomal protein S33 pseudogene 2
GOLGA6L6	Golgin A6 family like 6
RN7SKP74	RN7SK pseudogene 74
PABPC1P7	Poly(A) binding protein cytoplasmic 1 pseudogene 7
ZNF133-AS1	ZNF133 antisense RNA 1
LINC00851	Long intergenic non-protein coding RNA 851
SERPINE4P	Serpin family E member 4, pseudogene
SPA17P1	Sperm autoantigenic protein 17 pseudogene 1
PET117	PET117 cytochrome c oxidase chaperone
GABRA5	Gamma-aminobutyric acid type A receptor subunit alpha5
LAMP5-AS1	LAMP5 antisense RNA 1
RIOK1	RIO kinase 1
BANK1	B cell scaffold protein with ankyrin repeats 1
TRIM14	Tripartite motif containing 14
LAMP5	Lysosomal associated membrane protein family member 5
ANK3	Ankyrin 3
WIZP1	WIZ pseudogene 1
NAV2-IT1	NAV2 intronic transcript 1
EIF3M	Eukaryotic translation initiation factor 3 subunit M
ANKFY1	Ankyrin repeat and FYVE domain containing 1
GXYLT1P4	GXYLT1 pseudogene 4
PSMF1	Proteasome inhibitor subunit 1
ZBTB43	Zinc finger and BTB domain containing 43
CPNE5	Copine 5
DEPDC1P2	DEP domain containing 1 pseudogene 2
HNRNPA1P15	Heterogeneous nuclear ribonucleoprotein A1 pseudogene 15
CNN2P3	Calponin 2 pseudogene 3
RPS20P24	Ribosomal protein S20 pseudogene 24
PABIR1	PP2A Aalpha (PPP2R1A) and B55A (PPP2R2A) interacting phosphatase regulator 1
ZNF143	Zinc finger protein 143
ACTG1P3	Actin gamma 1 pseudogene 3
LINC02872	Long intergenic non-protein coding RNA 2872
SNPH	Syntaphilin
RAB28P4	RAB28, member RAS oncogene family pseudogene 4
C9orf135-DT	C9orf135 divergent transcript
LONRF2P3	LONRF2 pseudogene 3
LAMA3	Laminin subunit alpha 3
PHBP7	Prohibitin pseudogene 7
TCF3P1	Transcription factor 3 pseudogene 1
LMX1B	LIM homeobox transcription factor 1 beta
PI16	Peptidase inhibitor 16
SNHG14	Small nucleolar RNA host gene 14
SDCBP2	Syndecan binding protein 2
GLP1R	Glucagon like peptide 1 receptor
SPAG7	Sperm associated antigen 7
ITPR3	Inositol 1,4,5-trisphosphate receptor type 3
TMPRSS11GP	Transmembrane serine protease 11G, pseudogene
RPL36AP6	Ribosomal protein L36a pseudogene 6
NANS	N-acetylneuraminate synthase
MMRN1	Multimerin 1
RPL21P107	Ribosomal protein L21 pseudogene 107
MIR6869	MicroRNA 6869
SIRPB2	Signal regulatory protein beta 2
SPATA31D2P	SPATA31 subfamily D member 2, pseudogene
ZZEF1	Zinc finger ZZ-type and EF-hand domain containing 1
FGF7P6	Fibroblast growth factor 7 pseudogene 6
HMGN1P24	High mobility group nucleosome binding domain 1 pseudogene 24
PPIAP25	Peptidylprolyl isomerase A pseudogene 25
IGBP1P5	Immunoglobulin (CD79A) binding protein 1 pseudogene 5
DAPK1	Death associated protein kinase 1
KARS1P2	Lysyl-tRNA synthetase 1 pseudogene 2
FAM136EP	Family with sequence similarity 136 member E, pseudogene
DDX3P3	DEAD-box helicase 3 pseudogene 3
GRAMD4	GRAM domain containing 4
GPAT3	Glycerol-3-phosphate acyltransferase 3
RNU6-917P	RNA, U6 small nuclear 917, pseudogene
LCA10	Lung carcinoma-associated 10
SIRPD	Signal regulatory protein delta
ARHGAP4	Rho GTPase activating protein 4
SNX21	Sorting nexin family member 21
HNRNPA1P56	Heterogeneous nuclear ribonucleoprotein A1 pseudogene 56
RNF113B	Ring finger protein 113B
LARGE1-AS1	LARGE1 antisense RNA 1
CELSR1	Cadherin EGF LAG seven-pass G-type receptor 1
THAP6	THAP domain containing 6
MYO16-AS2	MYO16 antisense RNA 2
OBI1	ORC ubiquitin ligase 1
C7orf26	Chromosome 7 open reading frame 26
LINC02337	Long intergenic non-protein coding RNA 2337
MYO16-AS1	MYO16 antisense RNA 1
LINC00559	Long intergenic non-protein coding RNA 559
ACOT8	Acyl-CoA thioesterase 8
CRK	CRK proto-oncogene, adaptor protein
NEDD9	Neural precursor cell expressed, developmentally down-regulated 9
CHIC2	Cysteine rich hydrophobic domain 2
IQCE	IQ motif containing E
PAUPAR	PAX6 upstream antisense RNA
RAP1GAP2	RAP1 GTPase activating protein 2
EDNRB-AS1	EDNRB antisense RNA 1
LINC01216	Long intergenic non-protein coding RNA 1216
CISD2	CDGSH iron sulfur domain 2
LINC02546	Long intergenic non-protein coding RNA 2546
ATP5MC1P5	ATP synthase membrane subunit c locus 1 pseudogene 5
LINC00443	Long intergenic non-protein coding RNA 443
CD81-AS1	CD81 antisense RNA 1
MTND5P5	MT-ND5 pseudogene 5
LINC00678	Long intergenic non-protein coding RNA 678
H2AZ1	H2A.Z variant histone 1
DBX1	Developing brain homeobox 1
EIF4A1P7	Eukaryotic translation initiation factor 4A1 pseudogene 7
SUCLA2-AS1	SUCLA2 antisense RNA 1
TRIM60P13	Tripartite motif containing 60 pseudogene 13
HIPK3	Homeodomain interacting protein kinase 3
SH3BP1	SH3 domain binding protein 1
SRPK1	SRSF protein kinase 1
F10	Coagulation factor X
ALG1L3P	ALG1 like 3, pseudogene
ZSWIM3	Zinc finger SWIM-type containing 3
MRPL1	Mitochondrial ribosomal protein L1
PLTP	Phospholipid transfer protein
PRMT5-DT	PRMT5 divergent transcript
AJUBA	Ajuba LIM protein
TBCK	TBC1 domain containing kinase
KIF1C-AS1	KIF1C antisense RNA 1
DERL2	Derlin 2
AJUBA-DT	AJUBA divergent transcript
PCIF1	Phosphorylated CTD interacting factor 1
NAA10	N-alpha-acetyltransferase 10, NatA catalytic subunit
C14orf93	Chromosome 14 open reading frame 93
RANGAP1	Ran GTPase activating protein 1
BBOX1	Gamma-butyrobetaine hydroxylase 1
ZNF335	Zinc finger protein 335
FAR1P1	Fatty acyl-CoA reductase 1 pseudogene 1
MEMO1P5	Mediator of cell motility 1 pseudogene 5
CDKN2AIPNLP3	CDKN2A interacting protein N-terminal like pseudogene 3
GPC5	Glypican 5
TEKT1	Tektin 1
LINC01016	Long intergenic non-protein coding RNA 1016
LUZP2	Leucine zipper protein 2
FTLP1	Ferritin light chain pseudogene 1
MMP9	Matrix metallopeptidase 9
PRXL2A	Peroxiredoxin like 2A
ABCC10	ATP binding cassette subfamily C member 10
SLC12A5-AS1	SLC12A5 and MMP9 antisense RNA 1
TXNDC8	Thioredoxin domain containing 8
CCR12P	C-C motif chemokine receptor 12, pseudogene
FKBP1A	FKBP prolyl isomerase 1A
